Video,RobotName,SessionId,Experiment
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\2.mp4,robot1,None
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\2.mp4,robot2,None
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\3.mp4,robot1,None
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\3.mp4,robot2,None
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\6.mp4,robot1,None
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\6.mp4,robot2,None
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\7.mp4,robot1,None
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\7.mp4,robot2,None
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\8.mp4,robot1,None
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\8.mp4,robot2,None
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\9.mp4,robot1,None
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\9.mp4,robot2,None
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\10.mp4,robot1,796
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\10.mp4,robot2,797
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\11.mp4,robot1,798
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\11.mp4,robot2,799
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\12.mp4,robot1,800
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\12.mp4,robot2,801
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\13.mp4,robot1,None
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\14.mp4,robot1,805
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\14.mp4,robot2,806
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\14.mp4,robot3,807
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\15.mp4,robot1,808
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\15.mp4,robot2,809
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\15.mp4,robot3,810
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\16.mp4,robot1,811
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\16.mp4,robot2,812
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\16.mp4,robot3,813
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\17.mp4,robot1,814
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\17.mp4,robot2,815
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\17.mp4,robot3,816
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\18.mp4,robot1,820
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\18.mp4,robot2,821
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\18.mp4,robot3,822
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\19.mp4,robot1,823
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\19.mp4,robot2,824
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\19.mp4,robot3,825
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\20.mp4,robot1,826
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\20.mp4,robot2,827
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\20.mp4,robot3,828
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\21.mp4,robot1,829
D:\Dartmouth\Lab\Smart Car\Proxy\recordings\21.mp4,robot2,830
